ethalon 5058b3090c8b88e405fe2bfddd6c1c872f2b79d2 + oversized modelspace

2026-01-02T09:37:46+01:00
Running G:\!Development\!GitHubPublished\Octree\benchmarks\automatic\build\Release\benchmarks.exe
Run on (12 X 3693 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 32768 KiB (x1)
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
Benchmarks::Point::Update/50                                           2.07 us         2.05 us       373333 items_per_second=24.3809M/s
Benchmarks::Point::Update/100                                          4.06 us         4.10 us       179200 items_per_second=24.4017M/s
Benchmarks::Point::Update/1000                                         35.0 us         35.3 us        20364 items_per_second=28.3325M/s
Benchmarks::Point::Update/10000                                         670 us          660 us          829 items_per_second=15.1589M/s
Benchmarks::Point::Contains/1000                                       37.4 ns         36.8 ns     18666667
Benchmarks::Point::Contains/10000                                      53.8 ns         54.7 ns     10000000
Benchmarks::Point::RangeSearch/100                                     64.9 ns         64.2 ns     11200000
Benchmarks::Point::RangeSearch/1000                                    86.1 ns         87.2 ns      8960000
Benchmarks::Point::RangeSearch/10000                                    161 ns          160 ns      4480000
Benchmarks::Point::RangeSearch/100000                                   683 ns          680 ns       896000
Benchmarks::Point::GetNearestNeighbors/1000                           0.876 us        0.889 us       896000
Benchmarks::Point::GetNearestNeighbors/10000                           1.68 us         1.66 us       497778
Benchmarks::Point::GetNearestNeighbors<6>/1000                         3.05 us         3.05 us       235789
Benchmarks::Point::GetNearestNeighbors<6>/10000                        17.7 us         17.6 us        40727
Benchmarks::Point::GetNearestNeighbors<63>/1000                        2648 us         2636 us          249
Benchmarks::Point::GetNearestNeighbors<63>/10000                      30606 us        30506 us           21
Benchmarks::Point::FrustumCulling/1000                                 1.59 us         1.57 us       448000
Benchmarks::Point::FrustumCulling/10000                                11.7 us         11.7 us        64000
Benchmarks::Box::Create<3, 0, false>/10                               0.825 us        0.820 us       896000
Benchmarks::Box::Create<3, 0, false>/20                                1.04 us         1.05 us       640000
Benchmarks::Box::Create<3, 0, false>/50                                2.26 us         2.25 us       298667
Benchmarks::Box::Create<3, 0, false>/100                               3.59 us         3.53 us       194783
Benchmarks::Box::Create<3, 0, false>/1000                              29.5 us         29.2 us        23579
Benchmarks::Box::Create<3, 0, false>/10000                              432 us          430 us         1600
Benchmarks::Box::Create<3, 0, false>/100000                            4751 us         4741 us          145
Benchmarks::Box::Create<3, 0, false>/1000000                          46545 us        46875 us           15
Benchmarks::Box::Create<3, 0, true>/10                                 1.67 us         1.67 us       448000
